kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
2;250;15562;3780;14465;4;"[252,1659,1880,1939]";"[15566,120649,131524,136123]";"[8643,14465,14465,14465]";"[15487,14689,14467,14465]";465.00;678.00
2;250;15562;25160;214555;6;"[252,9822,14631,16327,16810,16905]";"[15564,738159,1005167,1071971,1078907,1082225]";"[113275,214555,214555,214555,214555,214555]";"[230791,220435,216949,215911,214603,214555]";10833.00;10112.00
2;250;15562;10125;97443;5;"[252,4994,6216,6475,6513]";"[15566,339516,426763,446824,450015]";"[44638,97443,97443,97443,97443]";"[105273,101001,98805,97683,97443]";2617.00;3123.00
2;250;15562;1946;18012;4;"[252,932,1069,1160]";"[15567,71659,81740,88500]";"[11665,18012,18012,18012]";"[18888,18198,18108,18012]";267.00;413.00
2;250;15562;1194;4176;5;"[252,660,750,776,778]";"[15566,48962,55312,57120,57210]";"[2813,4176,4176,4176,4176]";"[4576,4316,4216,4176,4176]";238.00;368.00
2;250;15562;23498;19387;8;"[252,8609,12565,14498,15858,16695,17304,17595]";"[15566,663471,923703,1045370,1104826,1138767,1160876,1177413]";"[11659,19387,19387,19387,19387,19387,19387,19387]";"[22799,20645,20276,20039,19808,19716,19487,19387]";16613.00;15261.00
2;250;15562;6344;11375;5;"[252,2964,3643,3860,3879]";"[15568,226109,271814,284931,286173]";"[8303,11175,11375,11375,11375]";"[12333,11640,11415,11385,11375]";1499.00;1967.00
2;250;15562;4989;25440;6;"[252,2371,2771,2866,2961,2968]";"[15566,148764,173945,176442,179199,179561]";"[11280,25440,25440,25440,25440,25440]";"[27576,26148,25683,25563,25500,25440]";1199.00;1579.00
2;250;15562;5815;14076;4;"[252,3016,3184,3291]";"[15566,214163,229800,241574]";"[10367,14076,14076,14076]";"[15369,14252,14114,14076]";872.00;1220.00
2;250;15562;4357;9116;6;"[252,1882,2076,2216,2293,2356]";"[15567,128723,141613,152000,159524,162521]";"[5155,9116,9116,9116,9116,9116]";"[10792,9898,9324,9210,9174,9116]";1000.00;1352.00
2;250;15562;4567;16345;3;"[252,2159,2320]";"[15565,142660,150200]";"[11542,16345,16345]";"[16877,16427,16345]";352.00;512.00
2;250;15562;1884;4853;5;"[252,893,965,981,1027]";"[15566,64440,69264,69910,72515]";"[2638,4853,4853,4853,4853]";"[5333,4927,4901,4871,4853]";301.00;465.00
2;250;15562;4302;37531;5;"[252,2324,2558,2676,2679]";"[15567,161514,173323,178767,178977]";"[26401,37531,37531,37531,37531]";"[39701,37766,37636,37606,37531]";903.00;1251.00
2;250;15562;2664;6839;4;"[252,1274,1522,1544]";"[15569,98830,115436,116963]";"[2518,6839,6839,6839]";"[7565,7029,6887,6839]";399.00;583.00
2;250;20750;31158;170010;5;"[252,20227,24713,26239,26338]";"[20753,2072514,2405510,2533879,2539793]";"[89604,170010,170010,170010,170010]";"[189595,179525,174815,170210,170010]";25010.00;21088.00
